word,stop
acetylene,N
acid,N
adjustable,Y
air,N
aircraft,N
apparatus,Y
appliances,Y
applicable,Y
application,Y
arrangement,Y
articles,Y
attachment,Y
automatic,Y
automobile,N
automobiles,N
battery,N
bicycle,N
bicycles,N
body,Y
boilers,N
bottles,N
box,Y
boxes,Y
brake,N
c,Y
carriages,N
cars,N
cell,N
circuit,N
combustion,N
communication,N
composition,Y
compositions,Y
compounds,Y
concrete,Y
connection,Y
construction,N
container,N
continuous,Y
control,Y
controller,Y
cycle,Y
cycles,Y
data,N
derivatives,Y
detection,Y
device,Y
devices,Y
discharge,Y
display,Y
drive,N
electric,N
electrical,N
electronic,N
element,Y
engine,Y
engines,Y
equipment,Y
film,N
fluid,N
frequency,Y
fuel,N
furnaces,N
gas,N
gear,Y
head,Y
heat,Y
heating,Y
high,Y
holder,Y
hydraulic,N
image,N
improvement,Y
improvements,Y
information,Y
internal,Y
internalcombustion,Y
lamp,N
lamps,N
light,N
liquid,Y
liquids,Y
lock,N
looms,N
machine,Y
machinery,Y
machines,Y
magnetic,N
manufacture,N
manufacturing,N
material,Y
materials,Y
means,Y
mechanism,Y
medicine,N
medium,Y
metal,N
metallic,N
method,Y
methods,Y
mobile,N
motor,N
motors,N
network,N
new,Y
novel,Y
oil,N
optical,N
paper,N
photographic,N
pipes,Y
plastic,N
plate,N
pneumatic,N
power,Y
preparation,Y
pressure,Y
printing,Y
process,Y
processing,Y
production,Y
products,Y
program,Y
purposes,Y
radio,N
railway,N
resin,N
road,N
rotary,Y
rubber,N
safety,Y
seizohoho,N
semiconductor,N
sheet,Y
shoes,N
signal,Y
similar,Y
sound,Y
steam,N
storage,N
structure,Y
support,Y
surface,Y
switch,Y
system,Y
systems,Y
telephone,N
terminal,N
therefor,Y
thereof,Y
tire,N
tool,Y
toy,N
transmission,Y
treatment,Y
tube,Y
tubes,Y
type,Y
tyres,N
unit,Y
use,Y
valve,N
vehicle,N
vehicles,N
velocipedes,N
vessels,N
water,N
wheel,N
wheels,N
